BV	M
0.5730000000000001	5.298100000000001
1.099	1.353
0.165	0.9288000000000001
0.7010000000000001	5.6368
0.49000000000000005	4.2914
0.624	4.125500000000001
0.459	4.4675
1.067	1.5558
0.455	2.9851
0.5	4.0725
0.403	2.8120000000000003
0.42800000000000005	3.3138
0.446	3.855
0.47600000000000003	4.7571
0.637	5.5840000000000005
0.	-1.3304
0.51	4.5343
0.529	4.263
0.325	2.5166
0.436	3.8153
1.6800000000000002	-0.19690000000000002
0.441	3.2223
0.8580000000000001	6.4211
0.658	5.7556
-0.056	0.5576
0.9660000000000001	1.9745000000000001
1.026	7.2403
0.54	3.466
0.036000000000000004	-0.0589
0.44	-2.2049000000000003
0.48700000000000004	4.0402000000000005
0.46	3.7262
0.639	4.934
0.673	5.1249
1.012	6.9435
0.799	4.397600000000001
0.	0.453
0.47200000000000003	3.3178
0.622	3.9621000000000004
0.644	5.449800000000001
0.42300000000000004	3.6284
0.9740000000000001	1.5409000000000002
0.747	5.165
1.068	4.9593
0.117	1.5898
0.406	3.4382
0.7220000000000001	5.5937
0.7060000000000001	5.5872
0.036000000000000004	1.4211
0.46	4.255
0.499	4.2611
0.525	2.7578
0.40700000000000003	3.4823
0.251	2.2366
1.1580000000000001	2.4132000000000002
0.366	3.1436
0.07200000000000001	0.030600000000000002
0.12200000000000001	1.7908000000000002
1.36	0.30910000000000004
-0.037000000000000005	-0.63
0.457	2.1496
0.661	5.1368
1.012	1.8971
1.601	1.0383
1.546	1.5114
0.401	3.1724
1.331	1.9555
0.805	4.6608
-0.048	-0.5351
0.058	0.394
0.07	0.9512
0.47200000000000003	3.9668
0.775	6.1463
0.5850000000000001	4.6467
0.538	4.8502
0.41200000000000003	3.5646
0.42400000000000004	4.147
0.8250000000000001	-0.4234
0.9480000000000001	3.7885
0.6890000000000001	4.7893
0.5760000000000001	4.6599
0.743	13.059000000000001
1.1300000000000001	7.7723
0.373	3.3272000000000004
0.507	4.4937000000000005
0.513	4.3609
-0.155	-3.6873
0.108	-0.86
0.8340000000000001	0.9163
0.317	2.3772
1.473	1.2336
-0.060000000000000005	1.2908000000000002
0.5880000000000001	5.5513
1.022	2.0075000000000003
0.622	4.8076
0.5900000000000001	5.014600000000001
1.302	1.9439000000000002
0.47400000000000003	3.7110000000000003
0.5660000000000001	4.1946
1.458	10.4776
0.5730000000000001	4.4085
0.467	4.2011
0.5880000000000001	3.5857
1.018	3.2554000000000003
0.601	5.0923
0.038	1.6211
0.9690000000000001	2.9274
0.48300000000000004	4.0572
0.42500000000000004	3.6627
-0.055	0.1221
0.5820000000000001	5.1497
0.081	1.2282
0.368	3.7332
0.398	2.5923000000000003
0.635	5.2236
0.067	1.3079
0.41900000000000004	3.1967000000000003
1.059	2.8616
0.9860000000000001	4.0612
0.08600000000000001	-0.373
0.53	3.0266
0.197	0.9355
0.766	4.897200000000001
-0.18000000000000002	-2.4519
0.559	4.9697000000000005
0.511	3.4566000000000003
0.35500000000000004	2.8444000000000003
0.561	4.8767000000000005
1.1300000000000001	2.2485
0.032	0.7726000000000001
0.742	5.5453
1.1340000000000001	1.9089
0.35900000000000004	3.2011000000000003
0.42000000000000004	4.4703
-0.079	-0.8416
0.399	3.7301
0.66	4.212000000000001
0.42000000000000004	3.45
0.505	3.9969
1.157	2.6381
0.9580000000000001	7.032500000000001
0.646	4.210100000000001
0.617	3.6181
0.337	2.7099
0.465	3.1748000000000003
0.68	3.4321
0.8340000000000001	6.6755
0.332	1.3574000000000002
0.371	3.2981000000000003
0.32	-2.2199
0.195	1.2406000000000001
0.403	3.1354
0.628	13.6126
0.543	4.6999
0.513	4.412100000000001
0.17700000000000002	2.0954
0.9740000000000001	4.2282
0.795	6.6924
0.5660000000000001	4.74
0.092	2.0036
1.036	2.6108000000000002
0.7000000000000001	5.6122000000000005
0.641	3.7065
0.18100000000000002	1.9989000000000001
0.281	0.3027
-0.065	0.5146000000000001
0.28300000000000003	2.0335
1.0050000000000001	2.4731
0.441	4.09
0.023	1.4769
1.122	2.0481000000000003
0.8350000000000001	5.242
0.733	5.1854000000000005
0.631	4.095000000000001
0.38	2.5788
0.507	3.6140000000000003
0.26	1.6185
0.38	3.6184000000000003
0.085	1.2645
0.22	-4.012700000000001
0.019	1.4362000000000001
0.505	2.7066000000000003
0.672	4.2625
0.221	2.2634000000000003
0.462	2.4891
0.164	1.0959
0.6930000000000001	5.2439
0.658	4.9127
-0.1	0.28190000000000004
0.7170000000000001	5.5056
0.864	3.7547
0.63	4.5349
1.092	1.9449
0.524	3.1981
0.384	2.2181
0.384	3.2383
0.49500000000000005	3.067
0.42200000000000004	3.0981
0.8370000000000001	11.142900000000001
0.901	1.5779
0.651	5.2348
0.622	5.7857
0.42800000000000005	3.7464000000000004
1.072	2.7195
0.263	2.685
0.507	4.4254
0.896	2.1293
0.445	1.9901000000000002
0.746	4.8969000000000005
-0.008	-0.5946
0.43	3.8224
0.8540000000000001	7.511900000000001
1.5770000000000002	1.2171
0.11800000000000001	2.5431
0.49000000000000005	-1.8099
0.509	3.6933000000000002
0.433	2.8709000000000002
0.614	5.3552
1.572	1.2418
0.611	4.8244
-0.032	0.7678
0.08800000000000001	1.8388
1.0250000000000001	2.6002
0.465	3.9271000000000003
0.669	5.1574
0.498	4.6604
0.41000000000000003	4.2658000000000005
0.137	1.5981
-0.002	1.1660000000000001
0.738	6.0803
0.454	4.1504
0.5690000000000001	4.9964
1.091	2.4424
-0.043000000000000003	-1.2762
0.5670000000000001	4.1887
0.402	0.2548
0.468	3.5567
1.125	2.6599
0.757	2.5706
0.49100000000000005	3.6194
0.614	5.356800000000001
1.067	1.8685
0.62	4.9392000000000005
0.667	4.6761
0.796	5.9397
0.10400000000000001	-0.4413
0.547	4.8196
0.046	0.2847
0.669	4.8603000000000005
0.736	6.1464
0.48900000000000005	4.3645000000000005
1.316	0.9095000000000001
0.679	5.3918
0.52	4.504300000000001
0.401	2.7252
0.051000000000000004	0.87
0.6960000000000001	4.0321
0.7010000000000001	4.1245
-0.011000000000000001	0.27190000000000003
0.171	11.5036
0.789	5.602
1.109	2.432
0.48600000000000004	2.8302
1.0450000000000002	3.5001
0.512	5.0224
0.12000000000000001	-4.0783000000000005
-0.05	0.7809
0.307	3.3462
0.04	0.5261
0.613	4.0163
0.061000000000000006	1.5003
0.445	4.8623
0.8280000000000001	6.4386
0.79	6.1677
-0.026000000000000002	-0.41540000000000005
0.934	6.963100000000001
0.449	3.6591
0.549	4.083200000000001
0.8280000000000001	3.0256000000000003
0.879	6.9202
0.554	4.6343000000000005
0.47700000000000004	4.2651
0.686	4.2268
1.119	1.6156000000000001
0.5820000000000001	4.923
1.121	8.326500000000001
0.614	5.4699
0.47900000000000004	3.9775
0.514	4.1605
0.338	3.0468
0.554	4.2445
0.528	4.2526
0.128	0.9846
0.498	2.7495000000000003
0.497	3.8172
0.187	2.3272
0.5830000000000001	3.4170000000000003
0.48100000000000004	2.1397
0.41300000000000003	3.3987000000000003
0.497	4.3474
1.038	3.6287000000000003
0.002	2.1823
0.014	0.9636
0.47000000000000003	3.9725
0.437	2.2556000000000003
0.382	1.9806000000000001
0.45	3.9859
0.368	3.7174
0.449	1.4496
0.512	2.3645
0.446	2.8153
-0.052000000000000005	1.235
0.463	5.7381
0.327	1.0137
0.149	1.9407
0.401	3.8477
0.529	3.3448
0.158	1.0657
0.467	3.0366
0.5660000000000001	4.9703
1.224	2.2763
0.502	4.0933
0.41800000000000004	3.2053000000000003
1.623	0.09340000000000001
0.8420000000000001	5.641500000000001
1.1380000000000001	3.0469
0.614	4.1752
0.044000000000000004	0.6994
0.533	2.5142
-0.042	-0.013900000000000001
0.47000000000000003	2.874
0.48300000000000004	4.4394
0.5780000000000001	3.8184
0.377	2.7496
0.6980000000000001	5.9568
0.644	4.4848
0.374	2.0526
1.221	1.1033
0.663	4.7433000000000005
0.	-3.8049000000000004
1.224	2.4474
0.198	1.526
0.24300000000000002	2.0884
0.41400000000000003	3.4634
0.062	1.8946
0.651	4.7673000000000005
0.625	4.7531
0.42200000000000004	3.7766
0.306	2.8989000000000003
0.731	3.6771000000000003
0.193	1.7770000000000001
0.5660000000000001	3.9297
0.5750000000000001	3.6247000000000003
-0.021	1.4177
0.901	7.0002
0.2	1.0948
0.559	4.571000000000001
1.109	7.8771
0.514	3.434
0.507	3.5250000000000004
-0.12100000000000001	-0.5153
-0.030000000000000002	1.1638
0.439	3.0266
0.35200000000000004	3.4730000000000003
0.41000000000000003	3.0696000000000003
0.005	-0.15380000000000002
0.748	6.0541
0.35800000000000004	2.5291
1.072	2.9026
0.42500000000000004	3.7504000000000004
0.8420000000000001	6.7122
1.0010000000000001	2.3176
1.238	2.5475000000000003
0.42700000000000005	3.0369
0.595	11.7318
0.398	2.2519
-0.047	0.0206
0.56	4.9519
0.42900000000000005	3.2704
0.097	1.3724
0.896	1.7459
0.5710000000000001	5.3432
0.38	2.1669
0.624	3.7703
0.516	3.8723
0.531	4.6345
0.26	-4.778300000000001
0.156	2.1631
0.612	3.3426
0.446	2.8797
0.774	5.0236
0.5630000000000001	3.7233
1.054	2.3881
0.076	1.8483
0.42800000000000005	3.0076
0.375	2.8144
0.48400000000000004	2.9383000000000004
0.406	3.4256
1.04	3.2390000000000003
0.901	1.4724000000000002
0.798	5.7372000000000005
0.799	3.8429
0.431	2.1596
1.064	7.3035000000000005
0.536	2.9392
0.7180000000000001	5.2319
0.496	4.1796
0.442	4.0176
0.7180000000000001	6.6138
0.302	2.5340000000000003
0.48900000000000005	2.7484
0.504	3.5355000000000003
0.5710000000000001	4.165900000000001
0.443	4.0051000000000005
0.42400000000000004	3.8559
0.518	3.0208
0.021	0.5948
0.769	5.715800000000001
0.87	0.7168
0.995	3.5821
0.5920000000000001	4.2156
0.5920000000000001	3.6054000000000004
1.155	3.1839
0.621	5.2883000000000004
0.754	5.712000000000001
